scenario,selection,defense,category,test_acc,test_asr,TPR,FPR,source_file
blend_C_p0.03,res_square,nc,model_repair,0.9103,0.7306666666666667,,,2025_07_28_19_34_02.log
blend_C_p0.03,res_square,rnp,model_repair,0.6682,0.9731111111111111,,,2025_07_28_19_37_31.log
blend_C_p0.03,res_square,scan,sample_filter,,,0.9786666666666667,0.0,detection_info.csv
blend_C_p0.03,res_square,strip,sample_filter,,,0.2727777777777778,0.067,detection_info.csv
blend_C_p0.03,stealth,abl,model_repair,0.5884,0.08911111111111111,,,2025_07_28_19_17_03.log
blend_C_p0.03,stealth,ac,sample_filter,0.8983,0.8548888888888889,,,2025_07_28_19_25_37.log
blend_C_p0.03,stealth,fp,model_repair,0.9228,0.9284444444444444,,,2025_07_28_19_29_16.log
blend_C_p0.03,stealth,fst,model_repair,0.9253,0.8428888888888889,,,log.txt
blend_C_p0.03,stealth,i-bau,model_repair,0.8692,0.21966666666666668,,,2025_07_28_19_33_08.log
blend_C_p0.03,stealth,nc,model_repair,0.9367,0.9098888888888889,,,2025_07_28_19_34_03.log
blend_C_p0.03,stealth,rnp,model_repair,0.606,0.7168888888888889,,,2025_07_28_19_37_31.log
blend_C_p0.03,stealth,scan,sample_filter,,,0.9813333333333333,0.0,detection_info.csv
blend_C_p0.03,stealth,strip,sample_filter,,,0.018555555555555554,0.09,detection_info.csv
blend_p0.03,forget,abl,model_repair,0.598,0.09166666666666666,,,2025_07_28_20_31_36.log
blend_p0.03,forget,ac,sample_filter,0.8948,0.7322222222222222,,,2025_07_28_20_31_37.log
blend_p0.03,forget,fp,model_repair,0.9267,0.6351111111111111,,,2025_07_28_20_31_32.log
blend_p0.03,forget,fst,model_repair,0.9226,0.6408888888888888,,,log.txt
blend_p0.03,forget,i-bau,model_repair,0.8564,0.07033333333333333,,,2025_07_28_20_31_37.log
blend_p0.03,forget,nc,model_repair,0.9328,0.761,,,2025_07_28_21_00_40.log
blend_p0.03,forget,rnp,model_repair,0.2704,0.00011111111111111112,,,2025_07_28_21_00_41.log
blend_p0.03,forget,scan,sample_filter,,,0.96,0.0,detection_info.csv
blend_p0.03,forget,strip,sample_filter,,,0.02422222222222222,0.096,detection_info.csv
blend_p0.03,random,abl,model_repair,0.6129,0.15055555555555555,,,2025_07_28_20_31_38.log
blend_p0.03,random,ac,sample_filter,0.8936,0.5237777777777778,,,2025_07_28_20_31_38.log
blend_p0.03,random,fp,model_repair,0.9261,0.3983333333333333,,,2025_07_28_20_31_32.log
blend_p0.03,random,fst,model_repair,0.9254,0.428,,,log.txt
blend_p0.03,random,i-bau,model_repair,0.8832,0.2826666666666667,,,2025_07_28_20_31_38.log
blend_p0.03,random,nc,model_repair,0.9374,0.5764444444444444,,,2025_07_28_21_00_40.log
blend_p0.03,random,rnp,model_repair,0.6013,0.2707777777777778,,,2025_07_28_21_00_41.log
blend_p0.03,random,scan,sample_filter,,,0.9126666666666666,0.0,detection_info.csv
blend_p0.03,random,strip,sample_filter,,,0.011111111111111112,0.065,detection_info.csv
blend_p0.03,res_linear,abl,model_repair,0.5668,0.021777777777777778,,,2025_07_28_20_31_37.log
blend_p0.03,res_linear,ac,sample_filter,0.891,0.7173333333333334,,,2025_07_28_20_31_37.log
blend_p0.03,res_linear,fp,model_repair,0.9237,0.5865555555555556,,,2025_07_28_20_31_31.log
blend_p0.03,res_linear,fst,model_repair,0.9184,0.6917777777777778,,,log.txt
blend_p0.03,res_linear,i-bau,model_repair,0.8814,0.1661111111111111,,,2025_07_28_20_31_38.log
blend_p0.03,res_linear,nc,model_repair,0.8962,0.19477777777777777,,,2025_07_28_21_00_40.log
blend_p0.03,res_linear,rnp,model_repair,0.3307,0.0022222222222222222,,,2025_07_28_21_00_41.log
blend_p0.03,res_linear,scan,sample_filter,,,0.9593333333333334,0.0,detection_info.csv
blend_p0.03,res_linear,strip,sample_filter,,,0.04933333333333333,0.079,detection_info.csv
blend_p0.03,res_log,abl,model_repair,0.5391,0.03877777777777778,,,2025_07_28_20_31_38.log
blend_p0.03,res_log,ac,sample_filter,0.8934,0.7693333333333333,,,2025_07_28_20_31_37.log
blend_p0.03,res_log,fp,model_repair,0.9239,0.643,,,2025_07_28_20_31_32.log
blend_p0.03,res_log,fst,model_repair,0.919,0.695,,,log.txt
blend_p0.03,res_log,i-bau,model_repair,0.8721,0.20044444444444445,,,2025_07_28_20_31_38.log
blend_p0.03,res_log,nc,model_repair,0.9306,0.7488888888888889,,,2025_07_28_21_00_40.log
blend_p0.03,res_log,rnp,model_repair,0.4775,0.36144444444444446,,,2025_07_28_21_00_40.log
blend_p0.03,res_log,scan,sample_filter,,,0.9506666666666667,0.0,detection_info.csv
blend_p0.03,res_log,strip,sample_filter,,,0.03977777777777778,0.078,detection_info.csv
blend_p0.03,res_square,abl,model_repair,0.4729,0.021222222222222222,,,2025_07_28_20_31_36.log
blend_p0.03,res_square,ac,sample_filter,0.8947,0.766,,,2025_07_28_20_31_37.log
blend_p0.03,res_square,fp,model_repair,0.9226,0.5746666666666667,,,2025_07_28_20_31_32.log
blend_p0.03,res_square,fst,model_repair,0.9156,0.6702222222222223,,,log.txt
blend_p0.03,res_square,i-bau,model_repair,0.8666,0.1461111111111111,,,2025_07_28_21_00_40.log
blend_p0.03,res_square,nc,model_repair,0.9297,0.7791111111111111,,,2025_07_28_21_00_40.log
blend_p0.03,res_square,rnp,model_repair,0.5836,0.010888888888888889,,,2025_07_28_21_00_40.log
blend_p0.03,res_square,scan,sample_filter,,,0.9806666666666667,0.0,detection_info.csv
blend_p0.03,res_square,strip,sample_filter,,,0.032,0.091,detection_info.csv
blend_p0.03,stealth,abl,model_repair,0.5851,0.03388888888888889,,,2025_07_28_20_31_38.log
blend_p0.03,stealth,ac,sample_filter,0.8943,0.6774444444444444,,,2025_07_28_20_31_38.log
blend_p0.03,stealth,fp,model_repair,0.9236,0.6006666666666667,,,2025_07_28_20_31_32.log
blend_p0.03,stealth,fst,model_repair,0.926,0.586,,,log.txt
blend_p0.03,stealth,i-bau,model_repair,0.8879,0.14333333333333334,,,2025_07_28_21_00_40.log
blend_p0.03,stealth,nc,model_repair,0.935,0.7171111111111111,,,2025_07_28_21_00_40.log
blend_p0.03,stealth,rnp,model_repair,0.4463,0.1968888888888889,,,2025_07_28_21_00_40.log
blend_p0.03,stealth,scan,sample_filter,,,0.9533333333333334,0.0,detection_info.csv
blend_p0.03,stealth,strip,sample_filter,,,0.01911111111111111,0.085,detection_info.csv
blend_p0.05,forget,abl,model_repair,0.9091,0.5084444444444445,,,2025_07_26_11_38_42.log
blend_p0.05,forget,ac,sample_filter,0.89,0.6544444444444445,,,2025_07_26_11_38_42.log
blend_p0.05,forget,fp,model_repair,0.9214,0.4071111111111111,,,2025_07_26_12_40_39.log
blend_p0.05,forget,i-bau,model_repair,0.8628,0.09733333333333333,,,2025_07_26_12_40_44.log
blend_p0.05,forget,nc,model_repair,0.9247,0.7186666666666667,,,2025_07_26_12_40_45.log
blend_p0.05,forget,rnp,model_repair,0.194,0.0,,,2025_07_26_12_40_45.log
blend_p0.05,forget,strip,sample_filter,,,0.014444444444444444,0.059,detection_info.csv
blend_p0.05,random,abl,model_repair,0.917,0.4043333333333333,,,2025_07_26_11_38_42.log
blend_p0.05,random,ac,sample_filter,0.896,0.47244444444444444,,,2025_07_26_11_38_42.log
blend_p0.05,random,fp,model_repair,0.9241,0.4018888888888889,,,2025_07_26_12_40_38.log
blend_p0.05,random,i-bau,model_repair,0.8678,0.09544444444444444,,,2025_07_26_12_40_43.log
blend_p0.05,random,nc,model_repair,0.9332,0.5273333333333333,,,2025_07_26_12_40_45.log
blend_p0.05,random,rnp,model_repair,0.4742,0.0,,,2025_07_26_12_40_45.log
blend_p0.05,random,strip,sample_filter,,,0.029111111111111112,0.102,detection_info.csv
blend_p0.05,res_linear,abl,model_repair,0.9021,0.5143333333333333,,,2025_07_26_11_38_42.log
blend_p0.05,res_linear,ac,sample_filter,0.8809,0.6702222222222223,,,2025_07_26_11_38_42.log
blend_p0.05,res_linear,fp,model_repair,0.9239,0.4748888888888889,,,2025_07_26_12_40_38.log
blend_p0.05,res_linear,i-bau,model_repair,0.8777,0.10155555555555555,,,2025_07_26_12_40_44.log
blend_p0.05,res_linear,nc,model_repair,0.9113,0.5403333333333333,,,2025_07_26_12_40_45.log
blend_p0.05,res_linear,rnp,model_repair,0.4081,0.00022222222222222223,,,2025_07_26_12_40_44.log
blend_p0.05,res_linear,strip,sample_filter,,,0.051111111111111114,0.106,detection_info.csv
blend_p0.05,res_log,abl,model_repair,0.9052,0.6364444444444445,,,2025_07_26_11_38_42.log
blend_p0.05,res_log,ac,sample_filter,0.886,0.6893333333333334,,,2025_07_26_11_38_42.log
blend_p0.05,res_log,fp,model_repair,0.9233,0.5084444444444445,,,2025_07_26_12_40_38.log
blend_p0.05,res_log,i-bau,model_repair,0.8718,0.033555555555555554,,,2025_07_26_12_40_44.log
blend_p0.05,res_log,nc,model_repair,0.8946,0.4457777777777778,,,2025_07_26_12_40_45.log
blend_p0.05,res_log,rnp,model_repair,0.6129,0.0,,,2025_07_26_12_40_43.log
blend_p0.05,res_log,strip,sample_filter,,,0.02322222222222222,0.07,detection_info.csv
blend_p0.05,res_square,abl,model_repair,0.907,0.6097777777777778,,,2025_07_26_11_38_41.log
blend_p0.05,res_square,ac,sample_filter,0.8881,0.6393333333333333,,,2025_07_26_11_38_42.log
blend_p0.05,res_square,fp,model_repair,0.9184,0.414,,,2025_07_26_12_40_38.log
blend_p0.05,res_square,i-bau,model_repair,0.8802,0.115,,,2025_07_26_12_40_44.log
blend_p0.05,res_square,nc,model_repair,0.9049,0.4915555555555556,,,2025_07_26_12_40_43.log
blend_p0.05,res_square,rnp,model_repair,0.3585,0.0,,,2025_07_26_12_40_45.log
blend_p0.05,res_square,strip,sample_filter,,,0.028777777777777777,0.067,detection_info.csv
ctrl_p0.03,forget,abl,model_repair,0.9163,0.5744444444444444,,,2025_07_26_13_00_27.log
ctrl_p0.03,forget,ac,sample_filter,0.8969,0.936,,,2025_07_26_13_02_55.log
ctrl_p0.03,forget,fp,model_repair,0.9234,0.9744444444444444,,,2025_07_26_13_10_38.log
ctrl_p0.03,forget,fst,model_repair,0.9228,0.8874444444444445,,,log.txt
ctrl_p0.03,forget,i-bau,model_repair,0.8779,0.9808888888888889,,,2025_07_26_17_31_07.log
ctrl_p0.03,forget,nc,model_repair,0.9304,0.9572222222222222,,,2025_07_26_13_26_41.log
ctrl_p0.03,forget,rnp,model_repair,0.5677,0.422,,,2025_07_26_13_34_51.log
ctrl_p0.03,forget,scan,sample_filter,,,0.9766666666666667,0.0,detection_info.csv
ctrl_p0.03,forget,strip,sample_filter,,,0.5198888888888888,0.069,detection_info.csv
ctrl_p0.03,random,abl,model_repair,0.9238,0.6647777777777778,,,2025_07_26_13_00_27.log
ctrl_p0.03,random,ac,sample_filter,0.8965,0.8423333333333334,,,2025_07_26_13_02_53.log
ctrl_p0.03,random,fp,model_repair,0.9307,0.9491111111111111,,,2025_07_26_13_10_37.log
ctrl_p0.03,random,fst,model_repair,0.9241,0.9361111111111111,,,log.txt
ctrl_p0.03,random,i-bau,model_repair,0.9116,0.39455555555555555,,,2025_07_26_13_11_45.log
ctrl_p0.03,random,nc,model_repair,0.9144,0.01,,,2025_07_26_13_26_41.log
ctrl_p0.03,random,rnp,model_repair,0.3171,0.2627777777777778,,,2025_07_26_13_34_51.log
ctrl_p0.03,random,scan,sample_filter,,,0.9453333333333334,0.0,detection_info.csv
ctrl_p0.03,random,strip,sample_filter,,,0.5186666666666667,0.084,detection_info.csv
ctrl_p0.03,res_linear,abl,model_repair,0.9131,0.8467777777777777,,,2025_07_26_13_00_26.log
ctrl_p0.03,res_linear,ac,sample_filter,0.895,0.8957777777777778,,,2025_07_26_13_02_54.log
ctrl_p0.03,res_linear,fp,model_repair,0.9229,0.9924444444444445,,,2025_07_26_13_10_38.log
ctrl_p0.03,res_linear,fst,model_repair,0.9191,0.9868888888888889,,,log.txt
ctrl_p0.03,res_linear,i-bau,model_repair,0.8802,0.45855555555555555,,,2025_07_26_13_11_46.log
ctrl_p0.03,res_linear,nc,model_repair,0.9055,0.011333333333333334,,,2025_07_26_13_26_41.log
ctrl_p0.03,res_linear,rnp,model_repair,0.6023,0.3586666666666667,,,2025_07_26_13_34_51.log
ctrl_p0.03,res_linear,scan,sample_filter,,,0.97,0.0,detection_info.csv
ctrl_p0.03,res_linear,strip,sample_filter,,,0.7552222222222222,0.106,detection_info.csv
ctrl_p0.03,res_log,abl,model_repair,0.9183,0.8585555555555555,,,2025_07_26_13_00_27.log
ctrl_p0.03,res_log,ac,sample_filter,0.8931,0.9102222222222223,,,2025_07_26_13_02_54.log
ctrl_p0.03,res_log,fp,model_repair,0.9207,0.9777777777777777,,,2025_07_26_13_10_37.log
